review_page,review_title,review_content,review_star,reviewer_location,review_date,crawled_date
1,Battle Box visit,"An excellent, well presented and very important historical monument in Singapore's history during the Japanese occupation. Clean and well maintained with out becoming over renovated. The guide, Rodney, was knowledgeable and helped to get across the events to all age ranges. A place well worth visiting.",50,,Today,20200310
1,Barbara Angus,The tour was excellent and we thoroughly enjoyed the experience. The tour guide was exceptionally good and explained everything very clearly and precisely.We just loved it and it is well worth making time for this tour.,50,"Edinburgh, United Kingdom",Today,20200310
1,Excellent Tour,"Battlebox Tour is excellent. It’s a well laid out, very informative history lesson on the battle of Singapore, given in an interesting way.The guide and staff were very welcoming, friendly and knowledgeable and it’s fascinating to go into the underground bunker and see where the historical events took place.Highly recommend.",50,,6 Mar,20200310
1,Interesting...,"We turned up and managed to book onto a guided tour. It's about one hour and 15 minutes duration. Whilst it was interesting, I felt it was a bit too tightly scripted and didactic, with no interest in anything anyone had to say. We were led from room to room with a variety of short films being played and photos on the walls being explained to us. It was made very clear that no photographs are allowed.",40,"Liverpool, United Kingdom",6 Mar,20200310
1,Battlebox,"Located in the mosquito free (this time) Fort canning Park, which is well worth visiting it it's own right, the Battlebox Bunker/Museum is an excellent way to immerse yourself into the history of the Malayan/Singapore campaign, and the conditions inside the nerve centre of the Brirish army leading up to the capitulation. Our guide was knowledgeable and enthusiastic throughout the tour and there were snippets of historic film footage to further enhance the experience. To cap it off the Tiger beers at S$7 are about the cheapest in town!",40,"Adelaide, South Australia, Australia",5 Mar,20200310
2,Great experience,Fantastic great to experience value for money my wife and l thought they was the highlight of our holiday,50,"Gold Coast, Australia",5 Mar,20200310
2,A great presentation.,I was really impressed with the tour. The wax figures of the army staff involved in the fall of Singapore made the tour appear very real. It was like being there at the time. The many rooms presented with items from the era created a very realistic atmosphere.I would recommend that anyone going to Singapore should go to Bunkerbox.,50,,5 Mar,20200310
2,Very Historic Site,"The guided tour took some 1h15min and was a mixture of comments by the guide, film footage and time allowed to study the displays. Some of the rooms were partly restored with furniture and wax copies of the leading officers present at the surrender to the Japanese. It was all worthwhile.",50,"Uppsala, Sweden",5 Mar,20200310
2,A must do visit,Fascinating insight to the background and difficult decisions leading up to the Japanese surrender. The Battlebox is in superb grounds and makes a lovely place to visit with many more points of interest. to,50,"Wombourne, United Kingdom",5 Mar,20200310
2,Singapore Falls,You visit the Head Quarters of the British at the fall of Singapore to the Japanese in early 1942. Find why & how this happen. What happen to the British fleet & Airforce ? If you catch the Metro (train) to Fort Canning station you can use escalators to reach the Battlebox making it easy access.,40,"Sydney, Australia",4 Mar,20200310
3,Lost history,"The guided tour of Battlebox Singapore offers a fascinating insight into some of the less well-known history of the Second World War. The period and events leading up to and after the surrender to the Japanese army seem to have been allowed to sink into oblivion, perhaps because 'history is written by the victor'. However, that doesn't mean these events were any less significant. Battlebox is definitely worth a visit!",40,,4 Mar,20200310
3,Must see historical site.,"My visit to Battlebox was a real eye-opener. The surrender by the British to a much smaller Japanese force is explained by use of models, maps, video and life-size waxworks of the key players at the time. Our tour guide did a first class job of explaining everything and showing us how the decision to surrender was the only real option available. A special treat for anyone interested in events at Singapore at the start of WWII.",50,,4 Mar,20200310
3,Bringing History to Life,I knew a lot of the basic information about the fall of South East Asia and Singapore to the Japanese at the start of WWII. But this tour filled in a lot of details I did not know about. Seeing and touching brings reality to information I read about.,50,"Key Largo, Florida",4 Mar,20200310
3,Great tour,A definite must see. Will visit again. The tour guide was knowledgeable and provided an excellent experience.,50,,4 Mar,20200310
3,So much history,Loved the tour - never knew this was here - but so glad we visited. Great tour guide too. Wish we had come here before!,50,"Lautoka, Fiji",4 Mar,20200310
4,Touring the WWII Battlebox,"Fascinating attraction and very interesting history. The tour provides an excellent look back to the final days leading up to the British surrender to the Japanese in 1942, a sad and tragic point in the history of the British military and the people of Singapore. The tour was interesting and insightful.",50,,4 Mar,20200310
4,The historical place to visit in Singapore,A visit which will impress you and give you a lot of memories ! Very competent guides help you imagine the last hours before the surrender of the fortress .,50,"Luxembourg City, Luxembourg",4 Mar,20200310
4,"Battlebox, Singapore","Well worth a visit if you're at all interested in strategies during WWII. All staff very helpful and Horace, the guide, extremely knowledgeable. The Fort Canning site, including Raffles Garden, is pure tranquillity.",50,"Leicester, United Kingdom",4 Mar,20200310
4,Highly recommended,"We visited Battlebox with our 8 year old son. We had an excellent guide. The tour was a very good wrap up of history of Singapore. Our son loved it, the 1h 15 min tour was not at all too long for him. Definitely worth visiting!",50,,4 Mar,20200310
4,History lesson,If you are interested II world War and the fall of Singapore then you will not be disappointed in visiting the Battle box.To stand in the very place where all those years ago it was the command centre for the armed forces was just amazingThe decision making and living conditions by the men who operated inside the battlebox was hard to comprehend.The story is well told by the guided tours and well worth the time and money :),50,"High Wycombe, United Kingdom",4 Mar,20200310
5,Battlebox Singapore,"This was my 4th visit to the Battlebox and I still find it extremely interesting. The guide was excellent, extremely knowledgeable and delivered her information in a most considerate manner. Highly recommended.",50,manchester,4 Mar,20200310
5,K&VB,"Well worth the visit, very easy to get there and the conduct of the visit is excellent with knowledgeable guide who presents the facts in a clear and interesting manner",50,,4 Mar,20200310
5,Battlebox review,The swot that I am I won the prize (but then I had come from the Death Railway in Thailand). Very informative and knowledgeable guide. We had Matthew. It was interesting to meet someone local whose family was affected by the terrible events of WW2.,40,"London, United Kingdom",4 Mar,20200310
